handle,name,affiliation
SenatorBennet,Michael Bennet,Democrat
JoeBiden,Joe Biden,Democrat
CoryBooker,Cory Booker,Democrat
GovernorBullock,Steve Bullock,Democrat
PeteButtigieg,Pete Buttigieg,Democrat
JulianCastro,Julian Castro,Democrat
JohnDelaney,John Delaney,Democrat
TulsiGabbard,Tulsi Gabbard,Democrat
KamalaHarris,Kamala Harris,Democrat
amyklobuchar,Amy Klobuchar,Democrat
WayneMessam,Wayne Messam,Democrat
BetoORourke,Beto O'Rourke,Democrat
TimRyan,Tim Ryan,Democrat
SenSanders,Bernie Sanders,Democrat
JoeSestak,Joe Sestak,Democrat
TomSteyer,Tom Steyer,Democrat
ewarren,Elizabeth Warren,Democrat
marwilliamson,Marianne Williamson,Democrat
AndrewYang,Andrew Yang,Democrat
MarkSanford,Mark Sanford,Republican
realDonaldTrump,Donald Trump,Republican
WalshFreedom,Joe Walsh,Republican
GovBillWeld,William Weld,Republican
BilldeBlasio,Bill de Blasio,Democrat
SenGillibrand,Kirsten Gillibrand,Democrat
Hickenlooper,John Hickenlooper,Democrat
GovInslee,Jay Inslee,Democrat
sethmoulton,Seth Moulton,Democrat
VoteOjeda2020,Richard Ojeda,Democrat
ericswalwell,Eric Swalwell,Democrat
